# 3GPP TR 38.821 NTN reference scenarios (table 6.1.1.1-1 + 6.1.1.1-9)
# Roadmap §4.4.11 calibration corpus.
#
# Columns (with units):
#   scenario_id    : A1 .. D2 per TR 38.821 Table 6.1.1.1-1
#   orbit          : "GEO" | "LEO_600" | "LEO_1200"
#   freq_band      : "S" | "Ka_DL" | "Ka_UL"
#   freq_ghz       : carrier frequency for scenario
#   alt_km         : satellite altitude
#   max_eirp_dbw   : max EIRP density assumed for downlink budget
#   ue_g_t_db_per_k: assumed UE figure-of-merit
#   ue_class       : "VSAT" | "Handheld"
#   bandwidth_mhz  : reference bandwidth
#   target_cnr_db  : Table 6.1.3.4-1 reference C/N
#   link_pathloss_db_min : lowest pathloss at 90° elevation
#   link_pathloss_db_max : highest at 10° elevation
scenario_id,orbit,freq_band,freq_ghz,alt_km,max_eirp_dbw,ue_g_t_db_per_k,ue_class,bandwidth_mhz,target_cnr_db,link_pathloss_db_min,link_pathloss_db_max
A1,GEO,S,2.0,35786,59,-31.6,Handheld,5,8.6,189.3,194.0
A2,GEO,Ka_DL,20.0,35786,40,15.9,VSAT,400,15.4,209.3,214.0
B1,LEO_1200,S,2.0,1200,34,-31.6,Handheld,5,3.0,160.8,179.8
B2,LEO_1200,Ka_DL,20.0,1200,4,15.9,VSAT,400,4.0,180.8,199.8
C1,LEO_600,S,2.0,600,34,-31.6,Handheld,5,3.5,154.8,179.1
C2,LEO_600,Ka_DL,20.0,600,4,15.9,VSAT,400,4.5,174.8,199.1
D1,LEO_600,Ka_UL,30.0,600,23.0,15.9,VSAT,400,9.5,178.3,202.6
D2,LEO_1200,Ka_UL,30.0,1200,23.0,15.9,VSAT,400,8.0,184.3,203.3
